Id;Length
0492;600201
0493;613769
0494;1253263
0495;1800401
0496;1023963
0497;912674
0499;1799500
0501;900901
0502;595185
0503;922001
0504;1195001
0505;900901
0506;903947
0507;905301
0508;2056700
0509;1195001
0510;1133429
0511;628292
0512;1144724
0513;900601
0514;900301
0515;1921900
0516;1195001
0517;1931901
0518;1798401
0519;900638
0520;1798101
0521;1798601
0522;1800301
0524;662601
0525;917200
0526;635099
0527;1896000
0528;960073
0529;916450
0530;903501
0531;931153
0532;929281
0533;911903
0534;912355
0535;899401
0536;1200001
0537;900701
0538;900801
0539;921171
0540;600501
0541;1223501
0542;897466
0543;1203264
0544;1798001
0545;600501
0546;609301
0547;901506
0548;900901
0549;914129
0550;1802201
0551;617501
0552;1212601
0553;1208601
0554;901501
0555;617967
0556;1195001
0557;900473
0558;600501
0559;1450100
0560;902515
0561;896693
0562;615301
0563;899602
0564;1195001
0565;1200601
0566;910600
0567;1195001
0568;1195001
0570;923362
0571;1800801
0572;1198801
0573;1263700
0574;1800800
0575;1195001
0576;602501
0577;918314
0578;900601
0579;1208501
0580;1356236
0581;900502
0582;900401
0583;611101
0584;894607
0585;899981
0586;899587
0587;900601
0588;1243700
0589;1800300
0590;1206205
0591;1195001
0592;919124
0593;903300
0594;902500
0595;1212601
0596;1195001
0597;897317
0598;922618
0599;1205201
0600;1200401
0601;920463
0602;914346
0603;913641
0604;1797501
0605;903924
0606;1136737
0607;1203483
0608;900801
0610;1808001
0611;655679
0613;1204918
0614;898363
0615;1195001
0616;900819
0617;933200
0618;921511
0619;920627
0620;902501
0621;906378
0622;912036
0623;1195001
0624;904637
0625;1293201
0626;1800501
0627;1800601
0628;1195001
0629;1800301
0630;863968
0631;899601
0632;1155801
0633;609301
0635;893327
0636;1800501
0637;480501
0638;899600
0639;1213601
0640;893796
0641;1203601
0642;1428384
0643;895556
0644;600501
0645;893619
0646;1211701
0647;1798301
0648;1218715
0649;1313774
0650;900401
0651;1241101
0652;901251
0653;918800
0654;603201
0655;1195001
0657;899800
0658;1200301
0659;900400
0660;1800501
0661;908296
0662;1245300
0663;1208001
0664;897845
0665;900700
0666;1213301
0667;1308700
0668;599701
0669;902401
0670;662999
0672;616801
0673;1211101
0674;918797
0675;1212300
0676;1195001
0677;902720
0678;1195001
0679;605101
0680;900371
0681;899711
0682;1819901
0683;1198701
0684;600201
0686;901143
0687;903300
0688;1923200
0689;613301
0690;1219750
0691;1201701
0692;620922
0693;645739
0694;1311701
0695;719901
0696;918631
0697;1241601
0699;899101
0700;1881600
0701;1200901
0702;919268
0703;1195001
0704;1195001
0705;916050
0706;609701
0707;1939300
0708;1204865
0709;900501
0710;1206700
0711;909201
0712;1195001
0713;1229200
0714;915501
0715;1172301
0716;906724
0717;905201
0719;901121
0721;642401
0722;906201
0723;911372
0724;613601
0725;1205525
0726;1195001
0727;624148
0728;1202901
0729;1798401
0730;1797901
0731;901106
0732;922791
0733;902055
0734;628333
0735;1225801
0736;925940
0737;1226415
0738;899501
0739;895908
0740;625401
0741;872068
0742;1200501
0743;933820
0744;900301
0745;901901
0746;921364
0747;899801
0748;1210301
0749;928785
0750;894848
0752;640793
0753;1800501
0754;896551
0755;814801
0756;1126519
0757;1233901
0758;922579
0759;901201
0760;1199701
0762;1798101
0763;923248
0764;899831
0765;618501
0766;601001
0767;1303000
0768;1800701
0769;1133343
0770;1207296
0771;925130
0772;920907
0774;1310699
0775;1202001
0776;898084
0778;901489
0780;1197601
0781;873770
0782;908051
0783;899701
0784;619467
0785;1232649
0786;605101
0787;1798301
0788;746700
0789;912209
0790;900602
0791;1226702
0792;1210061
0793;659801
0794;900301
0795;1195001
0796;1195001
0797;924705
0798;1226151
0799;898898
0800;600301
0801;1203901
0802;600401
0803;812065
0804;908449
0805;1922400
0806;901401
0807;921350
0808;1195001
0809;2168200
0810;1195001
0811;901201
0812;1195001
0813;900560
0814;924319
0815;908171
0817;901601
0818;1205001
0819;897677
0820;928195
0821;900801
0822;1207501
0823;1797401
0824;923044
0825;1800501
0826;904201
0827;1205710
0828;902701
0829;1800401
0830;921400
0831;1800501
0832;1204209
0833;900871
0834;1299801
0835;914566
0836;1922700
0837;1206334
0838;1256804
0839;1247600
0840;1262621
0841;908503
0842;900400
0843;600401
0844;909378
0845;601901
0846;897458
0847;1195001
0848;909804
0849;1195001
0851;894442
0852;1798001
0853;900602
0854;1202001
0855;897580
0856;898849
0857;638701
0858;615901
0859;906895
0860;1212205
0861;1291263
0862;905153
0863;923385
0864;919825
0865;1203301
0866;912156
0867;947488
0868;901235
0870;901428
0871;1217053
0872;1199701
0873;647001
0874;1195001
0875;624540
0876;880691
0877;600401
0878;1195001
0880;901000
0881;1206693
0882;1211247
0883;600601
0884;901301
0885;901201
0886;1800701
0887;660801
0888;901837
0889;901201
0890;1805701
0892;896123
0894;899138
0895;636499
0896;1923400
0897;1999900
0898;1415502
0899;1900400
0900;1195001
0901;600701
0903;1798101
0904;904300
0905;898901
0906;1295368
0907;1195001
0908;920872
0909;923002
0910;1195001
0911;897401
0912;901501
0914;1209100
0915;1205400
0916;1202900
0918;948424
0919;600701
0920;900701
0921;628448
0922;892638
0923;1195001
0924;1798301
0925;603121
0926;601401
0927;908928
0928;1301901
0929;898300
0930;892676
0931;900001
0932;1802301
0933;1204001
0934;1223401
0935;905401
0936;1937300
0937;1195001
0938;600501
0939;1202890
0940;894069
0941;769901
0942;1207100
0943;990101
0944;900301
0945;606301
0946;1211699
0947;600801
0948;900301
0949;899701
0950;925603
0951;1195001
0952;899752
0953;1381874
0954;1800401
0955;619001
0957;1195001
0958;920967
0959;917526
0960;1914700
0961;626011
0962;902453
0964;600501
0965;920209
0967;900501
0968;916860
0969;1800801
0970;907440
0971;1798201
0972;900301
0973;604701
0974;892046
0975;1290100
0976;1258101
0977;918395
0978;734301
0979;1195001
0980;1201701
0981;899600
0982;1990300
0983;660602
0984;1326649
0985;927963
0986;602101
0989;674448
0990;930701
0991;924567
0992;902561
0993;896947
0994;683562
0995;900401
0996;903227
0997;922518
0998;605634
0999;1195001
1000;1203901
1002;1214101
1003;1738901
1004;1185561
1005;897182
1006;895663
1007;1800601
1008;899829
1009;897768
1010;1264301
1012;907842
1013;900501
1014;648776
1015;1195001
1016;620101
1017;910552
1018;900002
1019;909746
1020;1798201
1021;926708
1022;918088
1023;632501
1024;1206101
1025;902101
1026;924600
1027;1195001
1028;904100
1029;1195001
1030;1205600
1031;1798101
1032;916906
1033;1798401
1034;905702
1035;900400
1036;616494
1037;897783
1038;900601
1039;1273200
1040;1198401
1041;900401
1042;1215201
1043;602801
1044;629559
1045;1139374
1046;1249000
1047;897430
1048;645620
1049;604101
1050;1208425
1052;1210379
1053;1925600
1054;896186
1055;900301
1056;601601
1057;900508
1058;900700
1059;1195001
1060;1842401
1061;1269801
1062;1445800
1063;1044547
1064;901501
1065;948642
1066;911986
1067;904466
1068;1800601
1069;1192410
1070;1026501
1071;1195001
1072;1801701
1073;600601
1074;900401
1075;899801
1076;906780
1077;600601
1078;630414
1079;903001
1080;600701
1081;920220
1082;896063
1083;902001
1085;1216304
1086;897787
1087;900501
1088;1620000
1089;497601
1090;910889
1092;1281501
1093;1200701
1094;626779
1095;622247
1096;600701
1097;923948
1098;640506
1099;630481
1100;1798101
1101;633270
1102;632601
1103;600501
1104;1798101
1105;1797001
1106;1231801
1107;899800
1108;1195001
1109;874862
1110;1215534
1111;600701
1112;1989300
1113;1195001
1114;911138
1115;610701
1116;1205771
1117;1202601
1118;900400
1120;924651
1121;922189
