id;k1;b1;D1;p-value linear 1;R_score1;AIC_linear1;kef x^2 (1);kef x (1);kef 1 (1);p-value quadr 1;R_score quadr 1;AIC_quadr1;k2;b2;D2;p-value linear 2;R_score2;AIC_linear2;kef x^2 (2);kef x (2);kef 1 (2);p-value quadr 2;R_score quadr 2;AIC_quadr2;k3;b3;D3;p-value linear 3;R_score3;AIC_linear3;kef x^2 (3);kef x (3);kef 1 (3);p-value quadr 3;R_score quadr 3;AIC_quadr3;k4;b4;D4;p-value linear 4;R_score4;AIC_linear4;kef x^2 (4);kef x (4);kef 1 (4);p-value quadr 4;R_score quadr 4;AIC_quadr4;;Average linear R_score;Average quadr R_score;AIC linear;AIC quadrio
56;-1,815;13,92;1,815;0;0,991;101,567;-0,044;-1,119;11,801;0;0,998;23,526;-1,812;13,894;1,812;0;0,991;100,87;-0,043;-1,122;11,794;0;0,998;23,403;-1,812;13,892;1,812;0;0,991;100,33;-0,043;-1,133;11,825;0;0,998;26,777;-1,816;13,911;1,816;0;0,991;101,471;-0,043;-1,131;11,826;0;0,998;29,064;;0,991;0,998;101,0595;25,6925
57;-1,796;13,806;1,796;0;0,99;106,688;-0,046;-1,06;11,567;0;0,998;27,824;-1,795;13,813;1,795;0;0,99;106,613;-0,046;-1,061;11,579;0;0,998;28,404;-1,794;13,773;1,794;0;0,99;106,28;-0,045;-1,068;11,564;0;0,998;31,099;-1,795;13,768;1,795;0;0,99;106,76;-0,046;-1,065;11,547;0;0,998;31,391;;0,99;0,998;106,58525;29,6795
58;-1,786;14,165;1,786;0;0,99;103,739;-0,046;-1,057;11,945;0;0,999;14,131;-1,785;14,165;1,785;0;0,99;103,828;-0,046;-1,056;11,946;0;0,999;15,204;-1,787;14,173;1,787;0;0,99;104,578;-0,046;-1,05;11,933;0;0,999;14,788;-1,79;14,171;1,79;0;0,99;105,042;-0,046;-1,05;11,919;0;0,999;15,173;;0,99;0,999;104,29675;14,824
59;-1,804;14,01;1,804;0;0,991;103,455;-0,045;-1,088;11,83;0;0,998;21,622;-1,803;14,004;1,803;0;0,991;103,098;-0,045;-1,091;11,838;0;0,998;22,574;-1,802;13,98;1,802;0;0,991;103,204;-0,044;-1,092;11,818;0;0,998;23,82;-1,802;13,984;1,802;0;0,991;103,417;-0,045;-1,089;11,813;0;0,998;23,145;;0,991;0,998;103,2935;22,79025
60;-1,828;13,947;1,828;0;0,992;95,745;-0,04;-1,183;11,986;0;0,998;23,875;-1,827;13,941;1,827;0;0,992;95,625;-0,04;-1,185;11,988;0;0,998;24,957;-1,826;13,935;1,826;0;0,992;95,74;-0,04;-1,186;11,988;0;0,998;26,504;-1,826;13,936;1,826;0;0,992;95,777;-0,04;-1,185;11,984;0;0,998;25,891;;0,992;0,998;95,72175;25,30675
61;-1,837;13,747;1,837;0;0,992;98,594;-0,04;-1,203;11,819;0;0,998;40,37;-1,835;13,752;1,835;0;0,992;98,312;-0,04;-1,19;11,789;0;0,998;34,724;-1,834;13,765;1,834;0;0,992;98,368;-0,041;-1,177;11,766;0;0,998;29,269;-1,832;13,759;1,832;0;0,992;98,324;-0,041;-1,172;11,748;0;0,998;27,176;;0,992;0,998;98,3995;32,88475
62;-1,797;14,097;1,797;0;0,991;102,346;-0,045;-1,082;11,922;0;0,999;15,984;-1,795;14,096;1,795;0;0,991;101,964;-0,045;-1,082;11,924;0;0,999;14,375;-1,795;14,103;1,795;0;0,991;102,123;-0,045;-1,081;11,929;0;0,999;14,666;-1,796;14,116;1,796;0;0,991;101,506;-0,044;-1,089;11,965;0;0,999;16,266;;0,991;0,999;101,98475;15,32275
63;-1,826;13,63;1,826;0;0,992;98,504;-0,041;-1,166;11,621;0;0,998;28,333;-1,827;13,665;1,827;0;0,992;99,632;-0,042;-1,155;11,621;0;0,998;27,443;-1,824;13,658;1,824;0;0,992;99,386;-0,042;-1,158;11,632;0;0,998;29,502;-1,821;13,649;1,821;0;0,992;99,316;-0,041;-1,161;11,641;0;0,998;32,074;;0,992;0,998;99,2095;29,338
64;-1,837;14,034;1,837;0;0,993;89,625;-0,038;-1,233;12,197;0;0,999;18,394;-1,835;14,042;1,835;0;0,993;90,057;-0,038;-1,227;12,192;0;0,999;17,902;-1,837;14,055;1,837;0;0,993;91,001;-0,038;-1,222;12,184;0;0,999;18,492;-1,84;14,046;1,84;0;0,993;89,909;-0,038;-1,238;12,212;0;0,998;20,37;;0,993;0,99875;90,148;18,7895
65;-1,771;13,961;1,771;0;0,989;110,248;-0,049;-0,992;11,589;0;0,998;21,515;-1,772;13,966;1,772;0;0,989;110,795;-0,048;-1;11,617;0;0,998;29,637;-1,772;13,966;1,772;0;0,989;110,362;-0,048;-1,007;11,636;0;0,998;30,797;-1,778;13,986;1,778;0;0,989;111,421;-0,049;-0,99;11,588;0;0,998;23,358;;0,989;0,998;110,7065;26,32675
